"","X","Q","Other","Self","Percentile","Subject"
"543","X15.33",15,0.5,1,0.95,34
"544","X16.33",16,0.4,0.8,0.95,34
"545","X1.34",1,0.8,0.9,0.5,35
"546","X2.34",2,0.7,0.6,0.5,35
"547","X3.34",3,0.5,0.7,0.5,35
"548","X4.34",4,0.5,0.6,0.5,35
"549","X5.34",5,0.7,0.5,0.5,35
"550","X6.34",6,0.7,0.8,0.5,35
"551","X7.34",7,0.8,0.7,0.5,35
"552","X8.34",8,0.9,1,0.5,35
"553","X9.34",9,0.3,0.3,0.5,35
"554","X10.34",10,0.25,0.35,0.5,35
"555","X11.34",11,0.4,0.4,0.5,35
"556","X12.34",12,0.5,0.5,0.5,35
"557","X13.34",13,0.4,0.5,0.5,35
"558","X14.34",14,0.8,0.8,0.5,35
"559","X15.34",15,0.6,0.7,0.5,35
"560","X16.34",16,0.7,0.8,0.5,35
"561","X1.35",1,0.34,1,0.95,36
"562","X2.35",2,0.25,0.25,0.95,36
"563","X3.35",3,0.25,0.25,0.95,36
"564","X4.35",4,0.25,0.25,0.95,36
"565","X5.35",5,1,1,0.95,36
"566","X6.35",6,0.25,1,0.95,36
"567","X7.35",7,0.25,1,0.95,36
"568","X8.35",8,0.25,0.25,0.95,36
"569","X9.35",9,0.5,0.5,0.95,36
"570","X10.35",10,0.25,0.25,0.95,36
"571","X11.35",11,0.25,0.25,0.95,36
"572","X12.35",12,0.25,0.25,0.95,36
"573","X13.35",13,0.25,0.25,0.95,36
"574","X14.35",14,0.25,1,0.95,36
"575","X15.35",15,0.25,1,0.95,36
"576","X16.35",16,0.25,1,0.95,36
"577","X1.36",1,0.5,0.25,0.5,37
"578","X2.36",2,0,0,0.5,37
"579","X3.36",3,0.5,0.5,0.5,37
"580","X4.36",4,0.34,0.34,0.5,37
"581","X5.36",5,0.45,0.3,0.5,37
"582","X6.36",6,0.25,0.25,0.5,37
"583","X7.36",7,0.3,0.3,0.5,37
"584","X8.36",8,1,0.96,0.5,37
"585","X9.36",9,0.5,0.75,0.5,37
"586","X10.36",10,0.5,0.5,0.5,37
"587","X11.36",11,0.5,0.5,0.5,37
"588","X12.36",12,0.34,0.34,0.5,37
"589","X13.36",13,0.25,0.25,0.5,37
